"","CoB","ETH.group","age","sex","year","pop"
"984","Non-UK born","Indian",61,"M",2011,5620
"985","Non-UK born","Indian",62,"F",2011,5516
"986","Non-UK born","Indian",62,"M",2011,5209
"987","Non-UK born","Indian",63,"F",2011,5132
"988","Non-UK born","Indian",63,"M",2011,4674
"989","Non-UK born","Indian",64,"F",2011,4443
"990","Non-UK born","Indian",64,"M",2011,4076
"991","Non-UK born","Indian",65,"F",2011,4124
"992","Non-UK born","Indian",65,"M",2011,3629
"993","Non-UK born","Indian",66,"F",2011,3805
"994","Non-UK born","Indian",66,"M",2011,3400
"995","Non-UK born","Indian",67,"F",2011,3884
"996","Non-UK born","Indian",67,"M",2011,3390
"997","Non-UK born","Indian",68,"F",2011,3840
"998","Non-UK born","Indian",68,"M",2011,3472
"999","Non-UK born","Indian",69,"F",2011,3581
"1000","Non-UK born","Indian",69,"M",2011,3276
"1001","Non-UK born","Indian",70,"F",2011,3497
"1002","Non-UK born","Indian",70,"M",2011,3368
"1003","Non-UK born","Indian",71,"F",2011,3639
"1004","Non-UK born","Indian",71,"M",2011,3432
"1005","Non-UK born","Indian",72,"F",2011,3372
"1006","Non-UK born","Indian",72,"M",2011,3323
"1007","Non-UK born","Indian",73,"F",2011,3117
"1008","Non-UK born","Indian",73,"M",2011,3010
"1009","Non-UK born","Indian",74,"F",2011,2924
"1010","Non-UK born","Indian",74,"M",2011,2948
"1011","Non-UK born","Indian",75,"F",2011,2686
"1012","Non-UK born","Indian",75,"M",2011,2816
"1013","Non-UK born","Indian",76,"F",2011,2574
"1014","Non-UK born","Indian",76,"M",2011,2344
"1015","Non-UK born","Indian",77,"F",2011,2298
"1016","Non-UK born","Indian",77,"M",2011,2334
"1017","Non-UK born","Indian",78,"F",2011,2167
"1018","Non-UK born","Indian",78,"M",2011,2055
"1019","Non-UK born","Indian",79,"F",2011,1897
"1020","Non-UK born","Indian",79,"M",2011,1888
"1021","Non-UK born","Indian",80,"F",2011,1869
"1022","Non-UK born","Indian",80,"M",2011,1606
"1023","Non-UK born","Indian",81,"F",2011,1612
"1024","Non-UK born","Indian",81,"M",2011,1345
"1025","Non-UK born","Indian",82,"F",2011,1282
"1026","Non-UK born","Indian",82,"M",2011,1089
"1027","Non-UK born","Indian",83,"F",2011,1183
"1028","Non-UK born","Indian",83,"M",2011,929
"1029","Non-UK born","Indian",84,"F",2011,950
"1030","Non-UK born","Indian",84,"M",2011,753
"1031","Non-UK born","Indian",85,"F",2011,4616
"1032","Non-UK born","Indian",85,"M",2011,3158
"1033","Non-UK born","Mixed/Other",0,"F",2011,775
"1034","Non-UK born","Mixed/Other",0,"M",2011,845
"1035","Non-UK born","Mixed/Other",1,"F",2011,1501
"1036","Non-UK born","Mixed/Other",1,"M",2011,1620
"1037","Non-UK born","Mixed/Other",2,"F",2011,2259
"1038","Non-UK born","Mixed/Other",2,"M",2011,2248
"1039","Non-UK born","Mixed/Other",3,"F",2011,2879
"1040","Non-UK born","Mixed/Other",3,"M",2011,2986
"1041","Non-UK born","Mixed/Other",4,"F",2011,3177
"1042","Non-UK born","Mixed/Other",4,"M",2011,3467
"1043","Non-UK born","Mixed/Other",5,"F",2011,3566
"1044","Non-UK born","Mixed/Other",5,"M",2011,3855
"1045","Non-UK born","Mixed/Other",6,"F",2011,3688
"1046","Non-UK born","Mixed/Other",6,"M",2011,3775
"1047","Non-UK born","Mixed/Other",7,"F",2011,3875
"1048","Non-UK born","Mixed/Other",7,"M",2011,4051
"1049","Non-UK born","Mixed/Other",8,"F",2011,4167
"1050","Non-UK born","Mixed/Other",8,"M",2011,4120
"1051","Non-UK born","Mixed/Other",9,"F",2011,4433
"1052","Non-UK born","Mixed/Other",9,"M",2011,4700
"1053","Non-UK born","Mixed/Other",10,"F",2011,5050
"1054","Non-UK born","Mixed/Other",10,"M",2011,5396
"1055","Non-UK born","Mixed/Other",11,"F",2011,5472
"1056","Non-UK born","Mixed/Other",11,"M",2011,5947
"1057","Non-UK born","Mixed/Other",12,"F",2011,5682
"1058","Non-UK born","Mixed/Other",12,"M",2011,5999
"1059","Non-UK born","Mixed/Other",13,"F",2011,5980
"1060","Non-UK born","Mixed/Other",13,"M",2011,6656
"1061","Non-UK born","Mixed/Other",14,"F",2011,6275
"1062","Non-UK born","Mixed/Other",14,"M",2011,6857
"1063","Non-UK born","Mixed/Other",15,"F",2011,6132
"1064","Non-UK born","Mixed/Other",15,"M",2011,6919
"1065","Non-UK born","Mixed/Other",16,"F",2011,6484
"1066","Non-UK born","Mixed/Other",16,"M",2011,7679
"1067","Non-UK born","Mixed/Other",17,"F",2011,6452
"1068","Non-UK born","Mixed/Other",17,"M",2011,8594
"1069","Non-UK born","Mixed/Other",18,"F",2011,7221
"1070","Non-UK born","Mixed/Other",18,"M",2011,9079
"1071","Non-UK born","Mixed/Other",19,"F",2011,8060
"1072","Non-UK born","Mixed/Other",19,"M",2011,9778
"1073","Non-UK born","Mixed/Other",20,"F",2011,8785
"1074","Non-UK born","Mixed/Other",20,"M",2011,11940
"1075","Non-UK born","Mixed/Other",21,"F",2011,9496
"1076","Non-UK born","Mixed/Other",21,"M",2011,12276
"1077","Non-UK born","Mixed/Other",22,"F",2011,10096
"1078","Non-UK born","Mixed/Other",22,"M",2011,11632
"1079","Non-UK born","Mixed/Other",23,"F",2011,10970
"1080","Non-UK born","Mixed/Other",23,"M",2011,11633
"1081","Non-UK born","Mixed/Other",24,"F",2011,11880
"1082","Non-UK born","Mixed/Other",24,"M",2011,11606
"1083","Non-UK born","Mixed/Other",25,"F",2011,12697
"1084","Non-UK born","Mixed/Other",25,"M",2011,14322
"1085","Non-UK born","Mixed/Other",26,"F",2011,13500
"1086","Non-UK born","Mixed/Other",26,"M",2011,15040
"1087","Non-UK born","Mixed/Other",27,"F",2011,13858
"1088","Non-UK born","Mixed/Other",27,"M",2011,14681
"1089","Non-UK born","Mixed/Other",28,"F",2011,14200
"1090","Non-UK born","Mixed/Other",28,"M",2011,15024
"1091","Non-UK born","Mixed/Other",29,"F",2011,15036
"1092","Non-UK born","Mixed/Other",29,"M",2011,14821
"1093","Non-UK born","Mixed/Other",30,"F",2011,15013
"1094","Non-UK born","Mixed/Other",30,"M",2011,15713
"1095","Non-UK born","Mixed/Other",31,"F",2011,15133
"1096","Non-UK born","Mixed/Other",31,"M",2011,16182
"1097","Non-UK born","Mixed/Other",32,"F",2011,15164
"1098","Non-UK born","Mixed/Other",32,"M",2011,16636
"1099","Non-UK born","Mixed/Other",33,"F",2011,15605
"1100","Non-UK born","Mixed/Other",33,"M",2011,16547
"1101","Non-UK born","Mixed/Other",34,"F",2011,15829
"1102","Non-UK born","Mixed/Other",34,"M",2011,17162
"1103","Non-UK born","Mixed/Other",35,"F",2011,16119
"1104","Non-UK born","Mixed/Other",35,"M",2011,16151
"1105","Non-UK born","Mixed/Other",36,"F",2011,15603
"1106","Non-UK born","Mixed/Other",36,"M",2011,16367
"1107","Non-UK born","Mixed/Other",37,"F",2011,15407
"1108","Non-UK born","Mixed/Other",37,"M",2011,15963
"1109","Non-UK born","Mixed/Other",38,"F",2011,15084
"1110","Non-UK born","Mixed/Other",38,"M",2011,15112
"1111","Non-UK born","Mixed/Other",39,"F",2011,14574
"1112","Non-UK born","Mixed/Other",39,"M",2011,14487
"1113","Non-UK born","Mixed/Other",40,"F",2011,13600
"1114","Non-UK born","Mixed/Other",40,"M",2011,13473
"1115","Non-UK born","Mixed/Other",41,"F",2011,13010
"1116","Non-UK born","Mixed/Other",41,"M",2011,12753
"1117","Non-UK born","Mixed/Other",42,"F",2011,11963
"1118","Non-UK born","Mixed/Other",42,"M",2011,11846
"1119","Non-UK born","Mixed/Other",43,"F",2011,11046
"1120","Non-UK born","Mixed/Other",43,"M",2011,11024
"1121","Non-UK born","Mixed/Other",44,"F",2011,10386
"1122","Non-UK born","Mixed/Other",44,"M",2011,10340
"1123","Non-UK born","Mixed/Other",45,"F",2011,9993
"1124","Non-UK born","Mixed/Other",45,"M",2011,10165
"1125","Non-UK born","Mixed/Other",46,"F",2011,9481
"1126","Non-UK born","Mixed/Other",46,"M",2011,9697
"1127","Non-UK born","Mixed/Other",47,"F",2011,8988
"1128","Non-UK born","Mixed/Other",47,"M",2011,8927
"1129","Non-UK born","Mixed/Other",48,"F",2011,8561
"1130","Non-UK born","Mixed/Other",48,"M",2011,8777
"1131","Non-UK born","Mixed/Other",49,"F",2011,8239
"1132","Non-UK born","Mixed/Other",49,"M",2011,8403
"1133","Non-UK born","Mixed/Other",50,"F",2011,8143
"1134","Non-UK born","Mixed/Other",50,"M",2011,8409
"1135","Non-UK born","Mixed/Other",51,"F",2011,7850
"1136","Non-UK born","Mixed/Other",51,"M",2011,7570
"1137","Non-UK born","Mixed/Other",52,"F",2011,7251
"1138","Non-UK born","Mixed/Other",52,"M",2011,6951
"1139","Non-UK born","Mixed/Other",53,"F",2011,7079
"1140","Non-UK born","Mixed/Other",53,"M",2011,6604
"1141","Non-UK born","Mixed/Other",54,"F",2011,6971
"1142","Non-UK born","Mixed/Other",54,"M",2011,6327
"1143","Non-UK born","Mixed/Other",55,"F",2011,6511
"1144","Non-UK born","Mixed/Other",55,"M",2011,6304
"1145","Non-UK born","Mixed/Other",56,"F",2011,6285
"1146","Non-UK born","Mixed/Other",56,"M",2011,5959
"1147","Non-UK born","Mixed/Other",57,"F",2011,5955
"1148","Non-UK born","Mixed/Other",57,"M",2011,5520
"1149","Non-UK born","Mixed/Other",58,"F",2011,5748
"1150","Non-UK born","Mixed/Other",58,"M",2011,5243
"1151","Non-UK born","Mixed/Other",59,"F",2011,5445
"1152","Non-UK born","Mixed/Other",59,"M",2011,5033
"1153","Non-UK born","Mixed/Other",60,"F",2011,5487
"1154","Non-UK born","Mixed/Other",60,"M",2011,4727
"1155","Non-UK born","Mixed/Other",61,"F",2011,5271
"1156","Non-UK born","Mixed/Other",61,"M",2011,4492
"1157","Non-UK born","Mixed/Other",62,"F",2011,4856
"1158","Non-UK born","Mixed/Other",62,"M",2011,3988
"1159","Non-UK born","Mixed/Other",63,"F",2011,4605
"1160","Non-UK born","Mixed/Other",63,"M",2011,3875
"1161","Non-UK born","Mixed/Other",64,"F",2011,4196
"1162","Non-UK born","Mixed/Other",64,"M",2011,3487
"1163","Non-UK born","Mixed/Other",65,"F",2011,3554
"1164","Non-UK born","Mixed/Other",65,"M",2011,3104
"1165","Non-UK born","Mixed/Other",66,"F",2011,3317
"1166","Non-UK born","Mixed/Other",66,"M",2011,3035
"1167","Non-UK born","Mixed/Other",67,"F",2011,3129
"1168","Non-UK born","Mixed/Other",67,"M",2011,2829
"1169","Non-UK born","Mixed/Other",68,"F",2011,2936
"1170","Non-UK born","Mixed/Other",68,"M",2011,2657
"1171","Non-UK born","Mixed/Other",69,"F",2011,2677
"1172","Non-UK born","Mixed/Other",69,"M",2011,2377
"1173","Non-UK born","Mixed/Other",70,"F",2011,2647
"1174","Non-UK born","Mixed/Other",70,"M",2011,2358
"1175","Non-UK born","Mixed/Other",71,"F",2011,2474
"1176","Non-UK born","Mixed/Other",71,"M",2011,2363
"1177","Non-UK born","Mixed/Other",72,"F",2011,2252
"1178","Non-UK born","Mixed/Other",72,"M",2011,2135
"1179","Non-UK born","Mixed/Other",73,"F",2011,2107
"1180","Non-UK born","Mixed/Other",73,"M",2011,2018
"1181","Non-UK born","Mixed/Other",74,"F",2011,2073
"1182","Non-UK born","Mixed/Other",74,"M",2011,1838
"1183","Non-UK born","Mixed/Other",75,"F",2011,1828
"1184","Non-UK born","Mixed/Other",75,"M",2011,1750
"1185","Non-UK born","Mixed/Other",76,"F",2011,1728
"1186","Non-UK born","Mixed/Other",76,"M",2011,1636
"1187","Non-UK born","Mixed/Other",77,"F",2011,1534
"1188","Non-UK born","Mixed/Other",77,"M",2011,1423
"1189","Non-UK born","Mixed/Other",78,"F",2011,1506
"1190","Non-UK born","Mixed/Other",78,"M",2011,1336
"1191","Non-UK born","Mixed/Other",79,"F",2011,1354
"1192","Non-UK born","Mixed/Other",79,"M",2011,1119
"1193","Non-UK born","Mixed/Other",80,"F",2011,1256
"1194","Non-UK born","Mixed/Other",80,"M",2011,1162
"1195","Non-UK born","Mixed/Other",81,"F",2011,1066
"1196","Non-UK born","Mixed/Other",81,"M",2011,959
"1197","Non-UK born","Mixed/Other",82,"F",2011,972
"1198","Non-UK born","Mixed/Other",82,"M",2011,776
"1199","Non-UK born","Mixed/Other",83,"F",2011,847
"1200","Non-UK born","Mixed/Other",83,"M",2011,669
"1201","Non-UK born","Mixed/Other",84,"F",2011,788
"1202","Non-UK born","Mixed/Other",84,"M",2011,550
"1203","Non-UK born","Mixed/Other",85,"F",2011,3403
"1204","Non-UK born","Mixed/Other",85,"M",2011,2309
"1205","Non-UK born","Pakistani",0,"F",2011,128
"1206","Non-UK born","Pakistani",0,"M",2011,127
"1207","Non-UK born","Pakistani",1,"F",2011,258
"1208","Non-UK born","Pakistani",1,"M",2011,355
"1209","Non-UK born","Pakistani",2,"F",2011,453
"1210","Non-UK born","Pakistani",2,"M",2011,469
"1211","Non-UK born","Pakistani",3,"F",2011,649
"1212","Non-UK born","Pakistani",3,"M",2011,666
"1213","Non-UK born","Pakistani",4,"F",2011,772
"1214","Non-UK born","Pakistani",4,"M",2011,812
"1215","Non-UK born","Pakistani",5,"F",2011,975
"1216","Non-UK born","Pakistani",5,"M",2011,910
"1217","Non-UK born","Pakistani",6,"F",2011,979
"1218","Non-UK born","Pakistani",6,"M",2011,1024
"1219","Non-UK born","Pakistani",7,"F",2011,1068
"1220","Non-UK born","Pakistani",7,"M",2011,1162
"1221","Non-UK born","Pakistani",8,"F",2011,1010
"1222","Non-UK born","Pakistani",8,"M",2011,1128
"1223","Non-UK born","Pakistani",9,"F",2011,1169
"1224","Non-UK born","Pakistani",9,"M",2011,1255
"1225","Non-UK born","Pakistani",10,"F",2011,1244
"1226","Non-UK born","Pakistani",10,"M",2011,1287
"1227","Non-UK born","Pakistani",11,"F",2011,1278
"1228","Non-UK born","Pakistani",11,"M",2011,1389
"1229","Non-UK born","Pakistani",12,"F",2011,1320
"1230","Non-UK born","Pakistani",12,"M",2011,1447
"1231","Non-UK born","Pakistani",13,"F",2011,1379
"1232","Non-UK born","Pakistani",13,"M",2011,1515
"1233","Non-UK born","Pakistani",14,"F",2011,1422
"1234","Non-UK born","Pakistani",14,"M",2011,1500
"1235","Non-UK born","Pakistani",15,"F",2011,1394
"1236","Non-UK born","Pakistani",15,"M",2011,1573
"1237","Non-UK born","Pakistani",16,"F",2011,1484
"1238","Non-UK born","Pakistani",16,"M",2011,1552
"1239","Non-UK born","Pakistani",17,"F",2011,1376
"1240","Non-UK born","Pakistani",17,"M",2011,1645
"1241","Non-UK born","Pakistani",18,"F",2011,1518
"1242","Non-UK born","Pakistani",18,"M",2011,1930
"1243","Non-UK born","Pakistani",19,"F",2011,1567
"1244","Non-UK born","Pakistani",19,"M",2011,2429
"1245","Non-UK born","Pakistani",20,"F",2011,1807
"1246","Non-UK born","Pakistani",20,"M",2011,2970
"1247","Non-UK born","Pakistani",21,"F",2011,2410
"1248","Non-UK born","Pakistani",21,"M",2011,3453
"1249","Non-UK born","Pakistani",22,"F",2011,3327
"1250","Non-UK born","Pakistani",22,"M",2011,3815
"1251","Non-UK born","Pakistani",23,"F",2011,3926
"1252","Non-UK born","Pakistani",23,"M",2011,4266
"1253","Non-UK born","Pakistani",24,"F",2011,4348
"1254","Non-UK born","Pakistani",24,"M",2011,4492
"1255","Non-UK born","Pakistani",25,"F",2011,4842
"1256","Non-UK born","Pakistani",25,"M",2011,5372
"1257","Non-UK born","Pakistani",26,"F",2011,5295
"1258","Non-UK born","Pakistani",26,"M",2011,5440
"1259","Non-UK born","Pakistani",27,"F",2011,5507
"1260","Non-UK born","Pakistani",27,"M",2011,5825
"1261","Non-UK born","Pakistani",28,"F",2011,6007
"1262","Non-UK born","Pakistani",28,"M",2011,6240
"1263","Non-UK born","Pakistani",29,"F",2011,6102
"1264","Non-UK born","Pakistani",29,"M",2011,6274
"1265","Non-UK born","Pakistani",30,"F",2011,6166
"1266","Non-UK born","Pakistani",30,"M",2011,6647
"1267","Non-UK born","Pakistani",31,"F",2011,6510
"1268","Non-UK born","Pakistani",31,"M",2011,6977
"1269","Non-UK born","Pakistani",32,"F",2011,6172
"1270","Non-UK born","Pakistani",32,"M",2011,6923
"1271","Non-UK born","Pakistani",33,"F",2011,5874
"1272","Non-UK born","Pakistani",33,"M",2011,7021
"1273","Non-UK born","Pakistani",34,"F",2011,6017
"1274","Non-UK born","Pakistani",34,"M",2011,7342
"1275","Non-UK born","Pakistani",35,"F",2011,5769
"1276","Non-UK born","Pakistani",35,"M",2011,6771
"1277","Non-UK born","Pakistani",36,"F",2011,5264
"1278","Non-UK born","Pakistani",36,"M",2011,6129
"1279","Non-UK born","Pakistani",37,"F",2011,5358
"1280","Non-UK born","Pakistani",37,"M",2011,6303
"1281","Non-UK born","Pakistani",38,"F",2011,5218
"1282","Non-UK born","Pakistani",38,"M",2011,6081
"1283","Non-UK born","Pakistani",39,"F",2011,4944
"1284","Non-UK born","Pakistani",39,"M",2011,5461
"1285","Non-UK born","Pakistani",40,"F",2011,4818
"1286","Non-UK born","Pakistani",40,"M",2011,5332
"1287","Non-UK born","Pakistani",41,"F",2011,4739
"1288","Non-UK born","Pakistani",41,"M",2011,5288
"1289","Non-UK born","Pakistani",42,"F",2011,4548
"1290","Non-UK born","Pakistani",42,"M",2011,5263
"1291","Non-UK born","Pakistani",43,"F",2011,4316
"1292","Non-UK born","Pakistani",43,"M",2011,5029
"1293","Non-UK born","Pakistani",44,"F",2011,4184
"1294","Non-UK born","Pakistani",44,"M",2011,4544
"1295","Non-UK born","Pakistani",45,"F",2011,3948
"1296","Non-UK born","Pakistani",45,"M",2011,4163
"1297","Non-UK born","Pakistani",46,"F",2011,3651
"1298","Non-UK born","Pakistani",46,"M",2011,3930
"1299","Non-UK born","Pakistani",47,"F",2011,3542
"1300","Non-UK born","Pakistani",47,"M",2011,3647
"1301","Non-UK born","Pakistani",48,"F",2011,3652
"1302","Non-UK born","Pakistani",48,"M",2011,3751
"1303","Non-UK born","Pakistani",49,"F",2011,3861
"1304","Non-UK born","Pakistani",49,"M",2011,4130
"1305","Non-UK born","Pakistani",50,"F",2011,3847
"1306","Non-UK born","Pakistani",50,"M",2011,4055
"1307","Non-UK born","Pakistani",51,"F",2011,4078
"1308","Non-UK born","Pakistani",51,"M",2011,4008
"1309","Non-UK born","Pakistani",52,"F",2011,3976
"1310","Non-UK born","Pakistani",52,"M",2011,3899
"1311","Non-UK born","Pakistani",53,"F",2011,3930
"1312","Non-UK born","Pakistani",53,"M",2011,3947
"1313","Non-UK born","Pakistani",54,"F",2011,3846
"1314","Non-UK born","Pakistani",54,"M",2011,3961
"1315","Non-UK born","Pakistani",55,"F",2011,3687
"1316","Non-UK born","Pakistani",55,"M",2011,3693
"1317","Non-UK born","Pakistani",56,"F",2011,3643
"1318","Non-UK born","Pakistani",56,"M",2011,3526
"1319","Non-UK born","Pakistani",57,"F",2011,3202
"1320","Non-UK born","Pakistani",57,"M",2011,3383
"1321","Non-UK born","Pakistani",58,"F",2011,3048
"1322","Non-UK born","Pakistani",58,"M",2011,3930
"1323","Non-UK born","Pakistani",59,"F",2011,2501
"1324","Non-UK born","Pakistani",59,"M",2011,3374
"1325","Non-UK born","Pakistani",60,"F",2011,2452
"1326","Non-UK born","Pakistani",60,"M",2011,2659
"1327","Non-UK born","Pakistani",61,"F",2011,2304
"1328","Non-UK born","Pakistani",61,"M",2011,2112
"1329","Non-UK born","Pakistani",62,"F",2011,2084
"1330","Non-UK born","Pakistani",62,"M",2011,1619
"1331","Non-UK born","Pakistani",63,"F",2011,1961
"1332","Non-UK born","Pakistani",63,"M",2011,1453
"1333","Non-UK born","Pakistani",64,"F",2011,1778
"1334","Non-UK born","Pakistani",64,"M",2011,1265
"1335","Non-UK born","Pakistani",65,"F",2011,1591
"1336","Non-UK born","Pakistani",65,"M",2011,1131
"1337","Non-UK born","Pakistani",66,"F",2011,1548
"1338","Non-UK born","Pakistani",66,"M",2011,1277
"1339","Non-UK born","Pakistani",67,"F",2011,1329
"1340","Non-UK born","Pakistani",67,"M",2011,1217
"1341","Non-UK born","Pakistani",68,"F",2011,1408
"1342","Non-UK born","Pakistani",68,"M",2011,1604
"1343","Non-UK born","Pakistani",69,"F",2011,1324
"1344","Non-UK born","Pakistani",69,"M",2011,1424
"1345","Non-UK born","Pakistani",70,"F",2011,1417
"1346","Non-UK born","Pakistani",70,"M",2011,1659
"1347","Non-UK born","Pakistani",71,"F",2011,1470
"1348","Non-UK born","Pakistani",71,"M",2011,1835
"1349","Non-UK born","Pakistani",72,"F",2011,1385
"1350","Non-UK born","Pakistani",72,"M",2011,1606
"1351","Non-UK born","Pakistani",73,"F",2011,1336
"1352","Non-UK born","Pakistani",73,"M",2011,1602
"1353","Non-UK born","Pakistani",74,"F",2011,1296
"1354","Non-UK born","Pakistani",74,"M",2011,1633
"1355","Non-UK born","Pakistani",75,"F",2011,1237
"1356","Non-UK born","Pakistani",75,"M",2011,1528
"1357","Non-UK born","Pakistani",76,"F",2011,1174
"1358","Non-UK born","Pakistani",76,"M",2011,1262
"1359","Non-UK born","Pakistani",77,"F",2011,1073
"1360","Non-UK born","Pakistani",77,"M",2011,1054
"1361","Non-UK born","Pakistani",78,"F",2011,904
"1362","Non-UK born","Pakistani",78,"M",2011,974
"1363","Non-UK born","Pakistani",79,"F",2011,751
"1364","Non-UK born","Pakistani",79,"M",2011,867
"1365","Non-UK born","Pakistani",80,"F",2011,785
"1366","Non-UK born","Pakistani",80,"M",2011,792
"1367","Non-UK born","Pakistani",81,"F",2011,694
"1368","Non-UK born","Pakistani",81,"M",2011,695
"1369","Non-UK born","Pakistani",82,"F",2011,453
"1370","Non-UK born","Pakistani",82,"M",2011,472
"1371","Non-UK born","Pakistani",83,"F",2011,399
"1372","Non-UK born","Pakistani",83,"M",2011,408
"1373","Non-UK born","Pakistani",84,"F",2011,296
"1374","Non-UK born","Pakistani",84,"M",2011,397
"1375","Non-UK born","Pakistani",85,"F",2011,1296
"1376","Non-UK born","Pakistani",85,"M",2011,1266
"1377","Non-UK born","White",0,"F",2011,1931
"1378","Non-UK born","White",0,"M",2011,1988
"1379","Non-UK born","White",1,"F",2011,4015
"1380","Non-UK born","White",1,"M",2011,4072
"1381","Non-UK born","White",2,"F",2011,5279
"1382","Non-UK born","White",2,"M",2011,5691
"1383","Non-UK born","White",3,"F",2011,6271
"1384","Non-UK born","White",3,"M",2011,6550
"1385","Non-UK born","White",4,"F",2011,7239
"1386","Non-UK born","White",4,"M",2011,7359
"1387","Non-UK born","White",5,"F",2011,8023
"1388","Non-UK born","White",5,"M",2011,8218
"1389","Non-UK born","White",6,"F",2011,8088
"1390","Non-UK born","White",6,"M",2011,8229
"1391","Non-UK born","White",7,"F",2011,8463
"1392","Non-UK born","White",7,"M",2011,8734
"1393","Non-UK born","White",8,"F",2011,8281
"1394","Non-UK born","White",8,"M",2011,8592
"1395","Non-UK born","White",9,"F",2011,8272
"1396","Non-UK born","White",9,"M",2011,8802
"1397","Non-UK born","White",10,"F",2011,8705
"1398","Non-UK born","White",10,"M",2011,9060
"1399","Non-UK born","White",11,"F",2011,8830
"1400","Non-UK born","White",11,"M",2011,9379
"1401","Non-UK born","White",12,"F",2011,9161
"1402","Non-UK born","White",12,"M",2011,9582
"1403","Non-UK born","White",13,"F",2011,9593
"1404","Non-UK born","White",13,"M",2011,9845
"1405","Non-UK born","White",14,"F",2011,9681
"1406","Non-UK born","White",14,"M",2011,10263
"1407","Non-UK born","White",15,"F",2011,9908
"1408","Non-UK born","White",15,"M",2011,10598
"1409","Non-UK born","White",16,"F",2011,9976
"1410","Non-UK born","White",16,"M",2011,10569
"1411","Non-UK born","White",17,"F",2011,10712
"1412","Non-UK born","White",17,"M",2011,10982
"1413","Non-UK born","White",18,"F",2011,12741
"1414","Non-UK born","White",18,"M",2011,12418
"1415","Non-UK born","White",19,"F",2011,17425
"1416","Non-UK born","White",19,"M",2011,15072
"1417","Non-UK born","White",20,"F",2011,20828
"1418","Non-UK born","White",20,"M",2011,18796
"1419","Non-UK born","White",21,"F",2011,23176
"1420","Non-UK born","White",21,"M",2011,20501
"1421","Non-UK born","White",22,"F",2011,26709
"1422","Non-UK born","White",22,"M",2011,22785
"1423","Non-UK born","White",23,"F",2011,32009
"1424","Non-UK born","White",23,"M",2011,25738
"1425","Non-UK born","White",24,"F",2011,37963
"1426","Non-UK born","White",24,"M",2011,29998
"1427","Non-UK born","White",25,"F",2011,43152
"1428","Non-UK born","White",25,"M",2011,36131
"1429","Non-UK born","White",26,"F",2011,47483
"1430","Non-UK born","White",26,"M",2011,40292
"1431","Non-UK born","White",27,"F",2011,50765
"1432","Non-UK born","White",27,"M",2011,44861
"1433","Non-UK born","White",28,"F",2011,53229
"1434","Non-UK born","White",28,"M",2011,47608
"1435","Non-UK born","White",29,"F",2011,53223
"1436","Non-UK born","White",29,"M",2011,48381
"1437","Non-UK born","White",30,"F",2011,51218
"1438","Non-UK born","White",30,"M",2011,49327
"1439","Non-UK born","White",31,"F",2011,49518
"1440","Non-UK born","White",31,"M",2011,47629
"1441","Non-UK born","White",32,"F",2011,46334
"1442","Non-UK born","White",32,"M",2011,45194
"1443","Non-UK born","White",33,"F",2011,43502
"1444","Non-UK born","White",33,"M",2011,42477
"1445","Non-UK born","White",34,"F",2011,41256
"1446","Non-UK born","White",34,"M",2011,41011
"1447","Non-UK born","White",35,"F",2011,38761
"1448","Non-UK born","White",35,"M",2011,37896
"1449","Non-UK born","White",36,"F",2011,36902
"1450","Non-UK born","White",36,"M",2011,35847
"1451","Non-UK born","White",37,"F",2011,34707
"1452","Non-UK born","White",37,"M",2011,33383
"1453","Non-UK born","White",38,"F",2011,32740
"1454","Non-UK born","White",38,"M",2011,31572
"1455","Non-UK born","White",39,"F",2011,31750
"1456","Non-UK born","White",39,"M",2011,29883
"1457","Non-UK born","White",40,"F",2011,30627
"1458","Non-UK born","White",40,"M",2011,28541
"1459","Non-UK born","White",41,"F",2011,28321
"1460","Non-UK born","White",41,"M",2011,26905
"1461","Non-UK born","White",42,"F",2011,27629
"1462","Non-UK born","White",42,"M",2011,25208
"1463","Non-UK born","White",43,"F",2011,26157
"1464","Non-UK born","White",43,"M",2011,24384
"1465","Non-UK born","White",44,"F",2011,25433
"1466","Non-UK born","White",44,"M",2011,23560
"1467","Non-UK born","White",45,"F",2011,24455
"1468","Non-UK born","White",45,"M",2011,22717
"1469","Non-UK born","White",46,"F",2011,23920
"1470","Non-UK born","White",46,"M",2011,22210
"1471","Non-UK born","White",47,"F",2011,23728
"1472","Non-UK born","White",47,"M",2011,21717
"1473","Non-UK born","White",48,"F",2011,22478
"1474","Non-UK born","White",48,"M",2011,20524
"1475","Non-UK born","White",49,"F",2011,21488
"1476","Non-UK born","White",49,"M",2011,19479
"1477","Non-UK born","White",50,"F",2011,21358
"1478","Non-UK born","White",50,"M",2011,19293
"1479","Non-UK born","White",51,"F",2011,20629
"1480","Non-UK born","White",51,"M",2011,18487
"1481","Non-UK born","White",52,"F",2011,20040
"1482","Non-UK born","White",52,"M",2011,17775
"1483","Non-UK born","White",53,"F",2011,19599
"1484","Non-UK born","White",53,"M",2011,17024
"1485","Non-UK born","White",54,"F",2011,18800
"1486","Non-UK born","White",54,"M",2011,16378
"1487","Non-UK born","White",55,"F",2011,18523
"1488","Non-UK born","White",55,"M",2011,15983
"1489","Non-UK born","White",56,"F",2011,17959
"1490","Non-UK born","White",56,"M",2011,15192
"1491","Non-UK born","White",57,"F",2011,17599
